Title,Year,certificate,Time,genre,Rating,Score,Description,Director,Actor1,Actor2,Actor3,Actor4,Votes,Gross
Lords of Chaos,(2018),18,118 min,"
Biography, Drama, Horror            ",6.5,"
48        
        Metascore
            ","
    A teenager's quest to launch Norwegian Black Metal in Oslo in the early 1990s results in a very violent outcome.",Jonas Åkerlund,Rory Culkin,Emory Cohen,Jack Kilmer,Sky Ferreira,"12,311",$0.25M
The Clan,(2015),15,108 min,"
Biography, Crime, Drama            ",7.0,"
73        
        Metascore
            ","
    The true story of the Puccio Clan, a family who kidnapped and killed people in the 80s.",Pablo Trapero,Guillermo Francella,Gastón Cocchiarale,Peter Lanzani,Stefanía Koessl,"12,120",$0.19M
Night and the City,(1950),A,101 min,"
Crime, Film-Noir, Mystery            ",7.9,,"
    A small-time grifter and nightclub tout takes advantage of some fortuitous circumstances and tries to become a big-time player as a wrestling promoter.",Jules Dassin,Richard Widmark,Gene Tierney,Googie Withers,Hugh Marlowe,"11,940",$3.60M
The Devil's Child,(2007),15,106 min,"
Drama, Horror, Thriller            ",5.9,"
69        
        Metascore
            ","
    The arrival of a newborn girl causes the gradual disintegration of the Cairn family; particularly for 9-year-old Joshua (Kogan), an eccentric boy whose proper upbringing and refined tastes both take a sinister turn.",George Ratliff,Sam Rockwell,Vera Farmiga,Jacob Kogan,Celia Weston,"11,837",$0.48M
In the Blood,(I) (2014),18,108 min,"
Action, Crime, Thriller            ",5.7,"
40        
        Metascore
            ","
    When her husband goes missing during their Caribbean vacation, a woman sets off on her own to take down the men she thinks are responsible.",John Stockwell,Gina Carano,Cam Gigandet,Ismael Cruz Cordova,Danny Trejo,"11,277",
The Deep End,(2001),15,101 min,"
Crime, Drama, Mystery            ",6.5,"
78        
        Metascore
            ","
    A woman spirals out of control while trying to keep her son from being found culpable in a murder investigation.",Scott McGehee,David Siegel,Tilda Swinton,Goran Visnjic,Jonathan Tucker,"10,988",$8.82M
Leave Her to Heaven,(1945),A,110 min,"
Drama, Film-Noir, Romance            ",7.6,,"
    A writer falls in love with a young socialite and they're soon married. But her obsessive love for him threatens to be the undoing of them both, and everyone else around them.",John M. Stahl,Gene Tierney,Cornel Wilde,Jeanne Crain,Vincent Price,"10,890",
Project X,(1987),PG,108 min,"
Comedy, Drama, Sci-Fi            ",6.1,"
61        
        Metascore
            ","
    An Air Force pilot joins a top secret military experiment involving chimps, but begins to suspect there might be something more to the mysterious ""Project X"".",Jonathan Kaplan,Matthew Broderick,Helen Hunt,Willie,Okko,"10,064",$18.53M
The Good Thief,(2002),15,109 min,"
Action, Crime, Drama            ",6.5,"
68        
        Metascore
            ","
    An aging gambler on a losing streak attempts to rob a casino in Monte Carlo. But someone's already tipped off the cops before he even makes a move.",Neil Jordan,Nick Nolte,Ralph Fiennes,Nutsa Kukhianidze,Ouassini Embarek,"9,992",$3.52M
The Cat o' Nine Tails,(1971),AA,112 min,"
Horror, Mystery, Thriller            ",6.7,"
63        
        Metascore
            ","
    A newspaper reporter and a retired, blind journalist try to solve a series of killings connected to a pharmaceutical company's experimental, top-secret research projects and in so doing, both become targets of the killer.",Dario Argento,James Franciscus,Karl Malden,Catherine Spaak,Pier Paolo Capponi,"9,958",
Millennium,(I) (1996–1999),15,45 min,"
Crime, Drama, Horror            ",8.0,,"
    A former FBI profiler with the ability to look inside the mind of a killer begins working for the mysterious Millennium Group which investigates serial killers, conspiracies, the occult, and those obsessed with the end of the millennium.",Lance Henriksen,Megan Gallagher,Terry O'Quinn,Brittany Tiplady,,"9,910",
Tales from the Crypt,(1972),18,92 min,"
Drama, Horror, Mystery            ",7.0,,"
    Five strangers get lost in a crypt and, after meeting the mysterious Crypt Keeper, receive visions of how they will die.",Freddie Francis,Joan Collins,Peter Cushing,Ralph Richardson,Geoffrey Bayldon,"9,839",$1.70M
Terror Train,(1980),X,97 min,"
Horror, Mystery, Thriller            ",5.9,,"
    Three years after a prank went terribly awry, the six college students responsible are targeted by a masked killer at a New Year's Eve party aboard a moving train.",Roger Spottiswoode,Ben Johnson,Jamie Lee Curtis,Hart Bochner,David Copperfield,"9,829",
The Enemy Below,(1957),U,98 min,"
Action, Adventure, Drama            ",7.5,,"
    During World War II, an American destroyer meets a German U-Boat. Both captains are experts, and so begins a deadly game of cat-and-mouse.",Dick Powell,Robert Mitchum,Curd Jürgens,David Hedison,Theodore Bikel,"9,761",
The Haunting of Molly Hartley,(2008),15,82 min,"
Drama, Horror, Thriller            ",3.9,"
28        
        Metascore
            ","
    A girl with PTSD attempts to refresh her life at a new school, but soon finds it impossible when she's afflicted by not only bullying and bad memories, but also the supernatural.",Mickey Liddell,Haley Bennett,Chace Crawford,Jake Weber,Shannon Woodward,"9,400",$13.35M
The Hound of the Baskervilles,(1939),A,80 min,"
Horror, Mystery, Thriller            ",7.5,,"
    Sherlock Holmes and Dr Watson investigate the legend of a supernatural hound, a beast that may be stalking a young heir on the fog-shrouded moorland that makes up his estate.",Sidney Lanfield,Basil Rathbone,Nigel Bruce,Richard Greene,Wendy Barrie,"9,389",
Quatermass and the Pit,(1967),X,97 min,"
Horror, Mystery, Sci-Fi            ",7.0,,"
    A mysterious artifact is unearthed in London, and famous scientist Bernard Quatermass is called into to divine its origins and explain its strange effects on people.",Roy Ward Baker,James Donald,Andrew Keir,Barbara Shelley,Julian Glover,"9,247",
Blood and Wine,(1996),15,101 min,"
Crime, Drama, Thriller            ",6.0,,"
    A man who has failed as a father and husband commits a heist to make money for his fledging business, but things become complicated when his wife interferes.",Bob Rafelson,Jack Nicholson,Michael Caine,Stephen Dorff,Jennifer Lopez,"9,123",$1.08M
Shining Through,(1992),15,132 min,"
Drama, Romance, Thriller            ",6.5,,"
    An American woman of Irish, Jewish-German parentage goes undercover in Nazi Germany.",David Seltzer,Michael Douglas,Melanie Griffith,Liam Neeson,Joely Richardson,"9,059",$21.73M
The Stunt Man,(1980),X,131 min,"
Action, Comedy, Drama            ",7.0,"
77        
        Metascore
            ","
    A fugitive stumbles on a movie set just when they need a new stunt man, takes the job as a way to hide out and falls for the leading lady.",Richard Rush,Peter O'Toole,Steve Railsback,Barbara Hershey,Allen Garfield,"8,662",$7.06M
Miss Bala,(2011),15,113 min,"
Action, Crime, Drama            ",6.5,"
79        
        Metascore
            ","
    After entering a beauty contest in Tijuana, a young woman witnesses drug-related murders and is forced to do the gang's bidding.",Gerardo Naranjo,Stephanie Sigman,Noé Hernández,Irene Azuela,Jose Yenque,"8,658",
Black Widow,(1987),15,102 min,"
Crime, Drama, Thriller            ",6.3,"
70        
        Metascore
            ","
    A federal investigator tracks down a gold-digging woman who moves from husband to husband to kill them and collect the inheritance.",Bob Rafelson,Debra Winger,Theresa Russell,Sami Frey,Dennis Hopper,"8,607",$25.21M
Undertow,(2004),15,108 min,"
Drama, Thriller            ",6.6,"
63        
        Metascore
            ","
    Pig farmer John's wife died and he's having problems with the oldest of 2 sons. John's just out of prison brother joins them. He spells trouble.",David Gordon Green,Jamie Bell,Josh Lucas,Dermot Mulroney,Devon Alan,"8,454",$0.02M
The Boston Strangler,(1968),X,116 min,"
Crime, Drama, Mystery            ",7.1,,"
    A series of brutal murders in Boston sparks a seemingly endless and increasingly complex manhunt.",Richard Fleischer,Tony Curtis,Henry Fonda,George Kennedy,Mike Kellin,"8,320",
Rapid Fire,(1992),18,95 min,"
Action, Crime, Drama            ",6.3,,"
    When student Jake Lo witnesses a killing, he finds himself caught between two feuding drug lords. Betrayed and set up by the federal agents, the only person he can trust is Ryan, a Chicago cop who reminds Jake of his deceased father.",Dwight H. Little,Brandon Lee,Powers Boothe,Nick Mancuso,Raymond J. Barry,"8,311",$14.36M
Turbo: A Power Rangers Movie,(1997),PG,99 min,"
Action, Adventure, Family            ",3.7,"
35        
        Metascore
            ","
    A space alien is threatening to bring destruction on Earth, and the Power Rangers are enhanced with turbo powers in order to prevent his plan.",Shuki Levy,David Winning,Jason David Frank,Catherine Sutherland,Hilary Shepard,"8,166",$8.36M
Roadkill 2,(2008 Video),18,91 min,"
Crime, Horror, Romance            ",5.1,,"
    After their car breaks down in the desert, four friends try to find their way back to civilization while trying to escape Rusty Nail's bloody wrath.",Louis Morneau,Nicki Aycox,Nick Zano,Laura Jordan,Kyle Schmid,"8,011",
The Osterman Weekend,(1983),18,103 min,"
Action, Drama, Thriller            ",5.9,,"
    During the Cold War, a controversial television journalist is asked by the C.I.A. to persuade certain acquaintances, who are Soviet Agents of the Omega network, to defect.",Sam Peckinpah,Rutger Hauer,John Hurt,Craig T. Nelson,Dennis Hopper,"7,982",$6.49M
Space: Above and Beyond,(1995–1996),PG,60 min,"
Action, Adventure, Drama            ",7.7,,"
    The Earth is embroiled in a desperate war against alien invaders, and this series focuses on one squadron of Marine pilots involved in it.",Morgan Weisser,Kristen Cloke,Rodney Rowland,Joel de la Fuente,,"7,442",
Kiss of Death,(1947),A,99 min,"
Crime, Drama, Film-Noir            ",7.4,,"
    Nick Bianco is caught during a botched jewellery heist. The prosecution offer him a more lenient sentence if he squeals on his accomplices but he doesn't roll over on them. Three years into the sentence an event changes his mind.",Henry Hathaway,Victor Mature,Brian Donlevy,Coleen Gray,Richard Widmark,"7,197",
Best Laid Plans,(1999),15,92 min,"
Crime, Drama, Thriller            ",6.1,"
40        
        Metascore
            ","
    A botched robbery leads two crooks and an unwitting buddy into a web of passion, crime and murder in this twist-laden film noir.",Mike Barker,Alessandro Nivola,Reese Witherspoon,Josh Brolin,Gene Wolande,"7,154",$0.03M
Force,(2011),R,137 min,"
Action, Crime, Drama            ",6.4,,"
    A vengeful gangster targets and terrorizes an entire police unit and their families.",Nishikant Kamat,John Abraham,Genelia D'Souza,Vidyut Jammwal,Raj Babbar,"7,036",
Panic in the Streets,(1950),A,96 min,"
Crime, Drama, Film-Noir            ",7.3,,"
    A doctor and a policeman in New Orleans have only 48 hours to locate a killer infected with pneumonic plague.",Elia Kazan,Richard Widmark,Paul Douglas,Barbara Bel Geddes,Jack Palance,"7,032",
Death Hunt,(1981),X,97 min,"
Action, Adventure, Crime            ",7.0,"
40        
        Metascore
            ","
    In 1931 Canada, Yukon trapper Johnson has a feud with a dog owner who later retaliates by publicly accusing Johnson of murder and thus triggering a police manhunt in the wilderness.",Peter R. Hunt,Charles Bronson,Lee Marvin,Andrew Stevens,Carl Weathers,"6,747",
Class Action,(1991),15,110 min,"
Drama, Thriller            ",6.4,"
58        
        Metascore
            ","
    An attorney representing a traumatized accident victim finds that his opponent is a very familiar defense attorney - his own daughter.",Michael Apted,Gene Hackman,Mary Elizabeth Mastrantonio,Colin Friels,Joanna Merlin,"6,657",$24.28M
 American Horror Story,(2011– ),18,50 min,"
Drama, Horror, Thriller            ",8.0,,"
    Therapist Ben Harmon, his wife, Vivien, and their daughter, Violet, move across the country to Los Angeles to escape their troubled past.",Ryan Murphy,Connie Britton,Dylan McDermott,Evan Peters,Taissa Farmiga,"6,597",
The Star Chamber,(1983),15,109 min,"
Crime, Drama, Mystery            ",6.3,"
60        
        Metascore
            ","
    Disgusted with criminals escaping the judicial system via technicalities, an idealistic young judge investigates an alternative method for punishing the guilty.",Peter Hyams,Michael Douglas,Hal Holbrook,Yaphet Kotto,Sharon Gless,"6,278",$5.56M
Lake Placid 2,(2007 TV Movie),15,88 min,"
Action, Adventure, Comedy            ",3.2,,"
    Man-eating crocodiles return to the lake, as two males and one aggressive female crocodile protecting their nest, wreak havoc on the locals.",David Flores,John Schneider,Sarah Lafleur,Sam McMurray,Chad Michael Collins,"6,276",
The Dancer Upstairs,(2002),15,132 min,"
Crime, Drama, Thriller            ",6.9,"
64        
        Metascore
            ","
    A police detective in a South American country is dedicated to hunting down a revolutionary guerilla leader.",John Malkovich,Javier Bardem,Laura Morante,Juan Diego Botto,Elvira Mínguez,"6,273",$2.38M
